maximum-sugar-endowment,minimum-sugar-endowment,gini-index,death-ratio,mean-sugar,median-sugar,sd-sugar
20,0,0.462668346,0.5943573,39.798,29.5,34.22366724
20,5,0.466141162,0.58428674,37.788,25.25,33.66719509
20,10,0.454398861,0.581684113,39.834,26.75,34.59852485
20,15,0.44208638,0.58649037,40.998,28,34.48425434
20,20,0.444274936,0.573582996,40.822,27,34.46255646
25,0,0.459948706,0.593109923,39.405,27,34.08144331
25,5,0.467145466,0.582894505,39.295,26.5,35.19995947
25,10,0.438752083,0.581599343,41.887,29,34.752185
25,15,0.439295929,0.579619439,41.515,29.5,34.80228327
25,20,0.437419609,0.579015515,45.116,31,37.5709003
25,25,0.422404208,0.568220243,45.602,32.25,36.04138244
30,0,0.468177557,0.585997632,39.553,27.5,35.32910539
30,5,0.440441817,0.583407417,41.642,30,34.21796096
30,10,0.437314292,0.578308281,41.995,30.25,34.71145954
30,15,0.422545314,0.579136782,43.386,31,34.79519717
30,20,0.421969742,0.579116932,43.542,31,35.14252707
30,25,0.415034871,0.567510506,44.201,32,34.66409852
30,30,0.404998548,0.560842788,48.578,35.5,36.79083548
35,0,0.442222529,0.581347561,41.426,31,34.46317503
35,5,0.440374123,0.575297004,42.901,32,35.83045537
35,10,0.418753289,0.570405327,43.502,33.5,34.42446648
35,15,0.42637094,0.570723301,46.092,34,36.92240835
35,20,0.407027829,0.563385094,47.024,34.5,36.2663848
35,25,0.402585013,0.56164675,48.511,36.75,36.16637243
35,30,0.401610649,0.55203624,47.212,35.5,35.85882375
40,0,0.431934174,0.572355222,42.479,33.5,34.29608031
40,5,0.436240409,0.568634377,43.955,34,36.35141476
40,10,0.420818447,0.56421901,45.656,35,36.10997923
40,15,0.408294327,0.563586021,45.424,35.5,35.03269544
40,20,0.403517596,0.551374419,48.063,38.25,36.12163817
40,25,0.400579947,0.549058469,49.683,38.5,37.436926
40,30,0.400174819,0.553033588,47.892,38,36.1414829
45,0,0.427075792,0.562920652,45.715,36.5,35.7948372
45,5,0.431835527,0.564736346,46.505,35,37.7567569
45,10,0.3999182,0.551811694,48.174,38.5,35.67525927
45,15,0.417436326,0.554667482,48.616,37.5,38.07294848
45,20,0.394584616,0.545694473,49.658,40.5,36.54862605
45,25,0.388865833,0.539072332,48.929,39,36.02394632
45,30,0.390263347,0.525656164,50.26,41,36.93419464
50,0,0.430077885,0.558753619,46.179,36.5,36.9678541
50,5,0.407128073,0.55260423,46.711,37,35.65129399
50,10,0.40313103,0.548574823,50.131,41.5,37.47816646
50,15,0.403192827,0.542498681,50.789,41.25,37.59793539
50,20,0.38820151,0.536591058,48.324,40,34.9358483
50,25,0.397716963,0.529673132,51.838,42,38.04957914
50,30,0.391805523,0.511093396,52.848,44,38.78291295
