initial-population,gini-index,death-ratio,mean-sugar,median-sugar,sd-sugar
20,0.476178693,0.296022438,44.2,30.5,44.32822477
40,0.467970923,0.28448763,77.2375,70.25,66.27140626
60,0.462964745,0.292491322,63.31666667,47.25,53.83727927
80,0.499035036,0.345918744,66.64375,49.25,63.66163306
100,0.501179929,0.380631949,60.365,37.25,57.97931295
120,0.471910337,0.398242025,65.075,46,57.38308362
140,0.47369957,0.398836007,59.24285714,39.75,53.18172342
160,0.459349593,0.394154904,59.90625,43.5,51.46495003
180,0.461176887,0.407236732,60.56388889,40,51.91867517
200,0.48517939,0.41485173,53.6075,33.5,50.0217273
220,0.483458107,0.41735469,53.16363636,33.5,49.82679206
240,0.492090713,0.420449604,49.10208333,29.75,47.08559406
260,0.477790606,0.430852281,48.43653846,29.5,44.00433278
280,0.467719034,0.442754491,46.63035714,29,41.70522807
300,0.505391025,0.454240135,47.35166667,26,45.69929445
320,0.490780952,0.469820573,48.2078125,30.75,45.03502851
340,0.493735079,0.49571446,47.06323529,28.75,44.1386626
360,0.481405175,0.510481397,45.12083333,30.75,40.89179715
380,0.472916212,0.533173496,42.53289474,29,38.46779988
400,0.474962026,0.545878836,43.40375,29.5,39.08690497
420,0.468349563,0.569410259,43.61785714,31.25,38.68409272
440,0.465462745,0.571357132,41.93863636,29,36.98050085
460,0.462850522,0.580118562,39.99021739,27,34.83481579
480,0.460102789,0.581017154,40.465625,28.25,35.5914797
500,0.44394229,0.585059268,38.847,28,32.23432664
520,0.451840311,0.583040276,38.90865385,27,33.24072609
540,0.453371532,0.58739708,38.70185185,27,33.14961667
560,0.449330393,0.587615777,40.16339286,27.5,34.0529556
580,0.44018026,0.588184413,36.53017241,25.5,30.85434408
600,0.454096528,0.590872093,36.41083333,24.5,31.33187201
620,0.438989618,0.584912143,35.87016129,25,30.10479639
640,0.452830304,0.585076803,35.878125,24.25,31.11979542
660,0.452592106,0.586642457,34.46666667,23.5,30.10677983
680,0.448180949,0.586937467,34.64191176,23.25,29.71663495
700,0.454814328,0.592527595,34.41285714,23.5,29.678162
720,0.461305681,0.593095496,33.24097222,22,29.63727172
740,0.444258012,0.593809526,33.10743243,22,28.26577172
760,0.453189561,0.597173643,32.44868421,21.25,28.26607493
780,0.456731127,0.599205783,29.52884615,20.25,26.25860612
800,0.459831178,0.603093772,30.58,20.5,27.19691773
820,0.462217358,0.60831216,31.08414634,20.5,27.27704888
840,0.466091507,0.612608858,29.66369048,19.5,26.48163313
860,0.460762717,0.621016452,29.20116279,19.5,25.87833119
880,0.462694666,0.626896083,28.77045455,19,25.52461606
900,0.468490947,0.636827521,27.53944444,18,24.86376356
920,0.470408227,0.652053226,27.39347826,17.5,24.60413487
940,0.467969738,0.663916068,26.93989362,18,23.80795989
960,0.462464745,0.679492725,28.00885417,18.5,24.02909367
980,0.466080351,0.701611217,27.61428571,18.5,23.97067114
1000,0.461411429,0.713739296,26.994,18.5,23.17743119
